No.,Place  of measurement,Place  of measurement,Type of place,Type of place,Description,75-87,"87-109
FM","109-300 VHF-TV, CB, AirCom",300 - 450 TETRA,"450-860
UHF-TV, LTE-800","860-1000
GSM-900","1000 - 1700 Navigation, GPS, DAB","1700-2200 GSM-1800, UMTS","2200-3000 WiFi, LTE-2600","75-3000
TOTAL",Location,"Coordinates (Latitude,Longtitude)"
13,,Street,O,SU,,0.07777,0.30496,0.10544,0.84508,0.07832,0.04205,0.08941,1.5763,0.28771,1.846,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
14,,Street,O,SU,,0.03823,0.06447,0.07468,0.04847,0.07654,0.03091,0.06316,0.5385,0.156,0.582,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
15,,RT,O,U,,0.04278,0.14519,0.07675,0.05014,0.11586,0.04306,0.06675,0.07809,0.16042,0.288,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
16,,RT,O,U,,0.09932,0.63847,0.08444,0.05153,0.32677,0.04153,0.06774,0.07861,0.15828,0.756,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
17,,RT,O,U,,0.04513,0.14373,0.07632,0.04415,0.08376,0.0306,0.06746,0.07808,0.15939,0.273,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
18,,Street,O,U,,0.04282,0.12476,0.08027,0.04538,0.11186,0.03478,0.06788,0.08184,0.15912,0.276,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
19,,Street,O,U,,0.03809,0.14215,0.08344,0.04509,0.14687,0.04005,0.06727,0.08685,0.159,0.302,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
20,,Street,O,U,,0.04483,0.17476,0.07744,0.04543,0.17139,0.03209,0.06741,0.07909,0.16015,0.328,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
21,,Street,O,U,,0.0406,0.14492,0.07556,0.04329,0.09984,0.02953,0.06728,0.07918,0.16063,0.279,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
22,,Street,O,U,,0.04386,0.27077,0.07521,0.04508,0.31674,0.03493,0.0632,0.16786,0.46752,0.66,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
23,,Street,O,U,,0.04085,0.23031,0.07638,0.04809,0.4515,0.04087,0.06346,1.0802,0.15839,1.21,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
24,,Street,O,U,,0.0431,0.28158,0.07688,0.04826,0.62804,0.06069,0.06354,1.1171,0.1654,1.329,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
25,,Street,O,U,,0.05045,0.51887,0.07578,0.11727,0.57175,0.06438,0.06585,0.9044,0.15899,1.212,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
26,,Street,O,U,,0.03912,0.36418,0.07833,0.09058,0.54131,0.06942,0.06336,0.58831,0.15974,0.907,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
27,,Street,O,U,,0.03877,0.20816,0.07646,0.05347,0.2127,0.03535,0.06363,1.0222,0.16023,1.084,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
28,,Street,O,U,,0.0382,0.20976,0.07716,0.04366,0.34906,0.03418,0.06285,0.17468,0.15961,0.486,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
29,,Street,O,U,,0.04143,0.30897,0.07818,0.04423,0.28572,0.03557,0.06437,0.11729,0.1605,0.481,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
30,,Street,O,U,,0.04133,0.21216,0.07926,0.05331,0.25988,0.11242,0.06377,0.12221,0.16064,0.425,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
31,,Street,O,U,,0.04133,0.21216,0.07926,0.05331,0.25988,0.11242,0.06441,0.12221,0.1607,0.425,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
32,PK,Saloni,I,U,8F,0.04091,0.1549,0.09529,0.05349,0.12994,0.05265,0.06738,0.24732,0.20227,0.405,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
33,PK,RT,O,U,,0.03989,0.15153,0.07768,0.06556,0.10989,0.06257,0.06641,1.1765,0.15947,1.21,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
34,PK,B,I,U,8F,0.06345,0.40778,0.08606,0.09436,0.23168,0.1045,0.06775,0.52692,0.15862,0.747,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
35,PK,B,I,U,8F,0.08368,0.34732,0.09622,0.15046,0.22927,0.08796,0.06722,0.2803,0.16085,0.573,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
36,PK,Grafeio,I,U,8F,0.05352,0.23426,0.07934,0.05621,0.19101,0.05625,0.06703,0.35155,0.43096,0.649,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
37,PK-G,RT,O,U,,0.07976,0.79057,0.13082,0.22415,0.26262,0.39955,0.06653,2.417,0.15479,2.607,A05.27.10.2010-COSMOTE_PANEPISTIMIOY_61,"37.98099517859488, 23.732168503285322"
38,PK-G,Grafeio,I,U,3F,0.03472,0.15397,0.07296,0.04547,0.06298,0.04309,0.06554,0.30418,0.15457,0.399,A05.27.10.2010-COSMOTE_PANEPISTIMIOY_62,"37.98099517859488, 23.732168503285322"
39,PK-G,Grafeio,I,U,1F,0.03279,0.10468,0.07245,0.04443,0.05756,0.04527,0.06579,0.1794,0.1554,0.292,A05.27.10.2010-COSMOTE_PANEPISTIMIOY_63,"37.98099517859488, 23.732168503285322"
40,,Street,O,U,,0.04807,0.34775,0.07229,0.04146,0.19979,0.27698,0.06717,0.18563,0.15317,0.556,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
41,,Street,O,U,,0.05304,0.44682,0.07273,0.04327,0.23848,0.32335,0.06562,0.21207,0.15417,0.666,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
42,,Street,O,U,,0.04968,0.29932,0.07246,0.04198,0.14205,0.57074,0.06589,0.21813,0.15472,0.722,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
43,,Street,O,U,,0.05661,0.66291,0.07314,0.04352,0.37859,0.89443,0.06593,0.5255,0.15657,1.303,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
44,,Street,O,U,,0.05474,0.34556,0.0734,0.04312,0.2198,1.078,0.06554,0.88701,0.15408,1.468,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
45,,Street,O,U,,0.07583,0.5804,0.07235,0.04349,0.24418,0.8007,0.06502,0.53211,0.15352,1.167,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
46,,Street,O,U,,0.03125,0.15155,0.07183,0.04172,0.06953,0.11486,0.06556,0.11551,0.15727,0.302,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
47,,Street,O,U,,0.03177,0.09965,0.07188,0.04137,0.06495,0.03299,0.06491,0.09962,0.15482,0.247,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
48,,Street,O,U,,0.03366,0.15825,0.07062,0.04137,0.08258,0.03706,0.06572,0.19518,0.1547,0.328,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
49,,Street,O,U,,0.0435,0.19246,0.07272,0.04137,0.07647,0.03252,0.06601,0.10986,0.15422,0.305,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
50,,Street,O,U,,0.03212,0.16083,0.07127,0.04185,0.09058,0.08403,0.06488,0.57295,0.15334,0.636,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
51,,Street,O,U,,0.04066,0.30023,0.0728,0.04215,0.17833,1.06,0.06633,0.52711,0.15426,1.249,A01.15.01.2010-COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
52,,Street,O,U,,0.0665,0.3774,0.07696,0.09303,0.51447,0.03733,0.07795,0.73716,0.15731,1.001,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
53,,Street,O,U,,0.05122,0.24263,0.07952,0.06357,0.13942,0.03268,0.06829,0.35616,0.15803,0.499,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
54,,Street,O,U,,0.04321,0.26337,0.07642,0.05834,0.10834,0.03069,0.06643,0.21329,0.15635,0.409,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
55,,Street,O,U,,0.04006,0.22406,0.0846,0.07312,0.12365,0.03166,0.0674,0.08111,0.16004,0.343,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
56,,Street,O,U,,0.10293,0.55573,0.08294,0.06266,0.36207,0.05848,0.06724,0.1767,0.15835,0.725,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
57,,Street,O,U,,0.06984,0.32293,0.0902,0.07693,0.12883,0.03337,0.06731,0.1567,0.15814,0.442,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
58,,Street,O,U,,0.05371,0.26145,0.07632,0.04974,0.21132,0.03385,0.06917,0.25838,0.15702,0.471,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
59,,Street,O,U,,0.05767,0.2627,0.07922,0.05325,0.15723,0.03115,0.06705,1.4054,0.15956,1.453,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
60,,Street,O,U,,0.06148,0.31592,0.07723,0.05839,0.20981,0.03339,0.06774,0.39488,0.15947,0.587,A03.03.08.2010-COSMOTE_PARADEISOS_AMAROYSIOY,"38.05015667529696, 23.808966620937206"
61,,Street,O,SU,,0.03621,0.06601,0.07393,0.04801,0.09038,0.09217,0.0646,0.28513,0.15554,0.374,A04.13.10.2010-COSMOTE_KALLITEXNOYPOLI,"38.024971157921314, 23.9551285092117"
62,,Street,O,SU,,0.03985,0.07072,0.07468,0.04918,0.08841,0.48266,0.06444,1.0263,0.1567,1.156,A04.13.10.2010-COSMOTE_KALLITEXNOYPOLI,"38.024971157921314, 23.9551285092117"
63,,Street,O,SU,,0.03723,0.08768,0.07553,0.0662,0.22426,0.36046,0.06573,1.3649,0.15716,1.446,A04.13.10.2010-COSMOTE_KALLITEXNOYPOLI,"38.024971157921314, 23.9551285092117"
64,,Street,O,SU,,0.05736,0.35774,0.07477,0.06168,0.42182,0.10824,0.0661,0.99794,0.15578,1.164,A04.13.10.2010-COSMOTE_KALLITEXNOYPOLI,"38.024971157921314, 23.9551285092117"
65,,Street,O,SU,,0.04234,0.23774,0.35539,0.04873,0.58194,0.04645,0.06501,0.09656,0.15752,0.752,A04.13.10.2010-COSMOTE_KALLITEXNOYPOLI,"38.024971157921314, 23.9551285092117"
66,,Street,O,SU,,0.04115,0.14607,0.07362,0.05582,0.1059,0.14911,0.0648,0.47562,0.15683,0.566,A04.13.10.2010-COSMOTE_KALLITEXNOYPOLI,"38.024971157921314, 23.9551285092117"
67,,Street,O,SU,,0.04448,0.19969,0.07632,0.05568,0.5585,1.056,0.07087,0.98303,0.15916,1.573,A04.13.10.2010-COSMOTE_KALLITEXNOYPOLI,"38.024971157921314, 23.9551285092117"
68,,Street,O,SU,,0.0321,0.0655,0.07065,0.29766,0.06679,0.42716,0.06317,0.15519,0.15245,0.581,A06.13.11.2010-COSMOTE_PIKERMI,"38.005348168613004, 23.880023928608885"
69,,Street,O,SU,,0.03229,0.06997,0.07076,0.14611,0.06613,0.50658,0.06339,0.20904,0.1532,0.604,A06.13.11.2010-COSMOTE_PIKERMI,"38.005348168613004, 23.880023928608885"
70,,Street,O,SU,,0.03221,0.07327,0.0711,0.1228,0.07466,0.58429,0.06349,0.17681,0.15338,0.658,A06.13.11.2010-COSMOTE_PIKERMI,"38.005348168613004, 23.880023928608885"
71,,Street,O,U,,0.09194,0.74581,0.10847,0.07194,0.35711,0.23815,0.07437,1.2344,0.70689,1.672,A07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
72,,RT,O,U,,0.1178,0.74593,0.10057,0.07068,0.36078,0.20978,0.06739,3.6999,0.15921,3.805,A07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
73,,RT,O,U,,0.08528,0.63681,0.16653,0.10135,0.35598,0.33669,0.16375,5.4027,0.31632,5.478,A07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
74,,RT,O,U,,0.08645,0.78473,0.14877,0.1,0.38501,0.32521,0.11832,5.7492,0.27867,5.836,A07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
75,,RT,O,U,,0.05262,0.53084,0.10848,0.08658,0.30425,0.32235,0.0672,3.2261,0.15657,3.307,A07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
76,,Street,O,U,,0.0379,0.42331,0.15917,0.05077,0.19348,0.11198,0.06657,0.51734,0.15899,0.746,A07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
77,,Street,O,U,,0.03748,0.25865,0.11967,0.04607,0.21031,0.24804,0.06752,1.0132,0.1635,1.117,A07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
78,PK-G,RT,O,U,,0.04029,0.485,0.07039,0.06523,0.45787,0.06863,0.06443,0.58048,0.16398,0.91,A03.04.10.2011-COSMOTE_OTE_ACADEMIES,"38.05371222835509, 23.78879122728862"
79,PK-G,RT,O,U,,0.05384,0.71596,0.06322,0.0919,0.47552,0.08963,0.06375,0.41085,0.16375,0.981,A03.04.10.2011-COSMOTE_OTE_ACADEMIES,"38.05371222835509, 23.78879122728862"
80,,Proavlio,O,U,,0.03293,0.32031,0.06024,0.03986,0.10645,0.02707,0.06313,0.26976,0.16333,0.474,A03.04.10.2011-COSMOTE_OTE_ACADEMIES,"38.05371222835509, 23.78879122728862"
81,PK-G,1B,I,U,1F,0.0737,0.92986,0.06127,0.04834,0.52182,0.03721,0.06432,0.48252,0.16407,1.189,A03.04.10.2011-COSMOTE_OTE_ACADEMIES,"38.05371222835509, 23.78879122728862"
82,,Pyli Proavlio,O,U,,0.03706,0.30003,0.06104,0.04697,0.10513,0.02769,0.063,0.36897,0.16388,0.525,A03.04.10.2011-COSMOTE_OTE_ACADEMIES,"38.05371222835509, 23.78879122728862"
83,AP,Street,O,U,,0.0402,0.3503,0.06089,0.1129,0.23704,0.20877,0.06238,0.39304,0.16501,0.653,A02.23.02.2011-COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
84,AP,Street,O,U,,0.02713,0.12967,0.06071,0.11349,0.1039,0.31853,0.06152,0.66089,0.16183,0.783,A02.23.02.2011-COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
85,AP,Street,O,U,,0.03785,0.40301,0.06193,0.11809,0.30518,0.32976,0.0618,0.77313,0.16616,1.006,A02.23.02.2011-COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
86,,Street,O,U,,0.02918,0.113,0.05851,0.03625,0.10717,0.1867,0.0615,0.684,0.16022,0.75,A03.04.03.2011-COSMOTE_ΜΑΡΑΘΩΝΟΣ,
87,,Street,O,U,,0.04091,0.1549,0.09529,0.05349,0.12994,0.05265,0.06738,0.24732,0.20227,0.405,,
88,,Street,O,U,,0.06345,0.40778,0.08606,0.09436,0.23168,0.1045,0.06775,0.52692,0.15862,0.747,,
89,,Street,O,U,,0.08368,0.34732,0.09622,0.15046,0.22927,0.08796,0.06722,0.2803,0.16085,0.573,,
90,AP,Street,O,U,,1.3983,17.25291,0.42587,0.36852,9.48976,0.44796,0.44111,0.54202,1.15802,19.8,A04.17.06.2011-COSMOTE_ΥΜΗΤΤΟΣ,
91,AP,Street,O,U,,1.1187,14.50828,0.33898,0.21161,5.29806,0.32726,0.34717,0.45985,0.91232,15.532,,
92,AP,Street,O,U,,2.69035,21.79684,0.39154,0.20957,5.57407,0.39122,0.35344,0.733,0.91516,22.699,,
93,,Street,O,U,,0.04064,0.33494,0.08333,0.04991,0.12767,0.07985,0.06626,0.89839,0.1566,0.991,A05.26.07.2011-COSMOTE_Ανω-Ιλίσια,
94,,Street,O,U,,0.10768,1.0982,0.08683,0.0581,0.22009,0.09975,0.07232,0.59192,0.1561,1.291,,
95,,Street,O,U,,0.03818,0.18658,0.0741,0.04607,0.08805,0.04257,0.0662,0.41628,0.15622,0.505,,
96,,Street,O,U,,0.04148,0.41856,0.07564,0.04584,0.38977,0.04942,0.06654,0.6238,0.15688,0.87,,
97,,1B,I,U,1F,0.09687,0.5515,0.06891,0.05059,0.18901,0.08843,0.06343,0.567,0.15811,0.846,A06.01.08.2011-COSMOTE_Βριλήσσια,
98,,1B,I,U,1F,0.10078,0.69271,0.06721,0.07,0.19963,0.07107,0.06333,1.5895,0.15568,1.76,,
99,,Room,I,U,1F,0.07569,0.24627,0.06899,0.04364,0.10401,0.05718,0.06331,0.63538,0.15625,0.721,,
100,,RT,O,U,,0.13677,0.50114,0.06981,0.05226,0.28264,0.14073,0.06385,2.4726,0.15682,2.553,,
101,,Street,O,SU,,0.03791,0.21638,0.06388,0.03778,0.09093,0.06738,0.05761,0.87469,0.14137,0.925,A07.19.09.2011-COSMOTE_ΠΑΛΛΗΝΗ,
102,,Street,O,SU,,0.03411,0.26717,0.0602,0.04138,0.12351,0.06154,0.05695,0.45697,0.1406,0.573,,
103,,Street,O,SU,,0.05552,0.54289,0.06098,0.06618,0.70423,0.05143,0.05792,1.2156,0.1409,1.518,,
104,,Street,O,SU,,0.02926,0.16517,0.06107,0.03924,0.24303,0.03246,0.05769,0.67281,0.13987,0.754,,
105,,Street,O,SU,,0.03142,0.10503,0.0605,0.04027,0.09614,0.02847,0.0575,0.53714,0.14007,0.582,,
106,,Street,O,SU,,0.05726,0.43198,0.06122,0.04268,0.62758,0.05309,0.06447,0.2912,0.13985,0.837,,
107,,Street,O,SU,,0.03038,0.07346,0.06078,0.03772,0.06234,0.05572,0.05696,1.0169,0.14114,1.037,,
108,Oikeia,RT,O,R,,0.03181,0.04193,0.07209,0.04128,0.05863,0.43712,0.06569,1.164,0.15505,1.26,A09.04.10.2011-COSMOTE_ΠΥΛΟΣ,
109,,Street,O,R,,0.03153,0.03824,0.07216,0.04154,0.05493,0.0433,0.06596,0.08104,0.15534,0.222,,
110,,Street,O,R,,0.03139,0.03826,0.07237,0.04163,0.05407,0.02955,0.06604,0.13247,0.15556,0.244,,
111,Oikeia,B,I,R,,0.03153,0.04807,0.07232,0.04173,0.06142,0.04345,0.06611,0.64302,0.15603,0.677,,
112,Oikeia,RT,O,R,,0.03153,0.04336,0.07257,0.04171,0.06023,0.08851,0.06591,0.79027,0.15577,0.821,,
113,,Street,O,R,,0.02501,0.05254,0.06031,0.0366,0.05037,0.02442,0.06285,0.08451,0.16232,0.221,Α01.20.01.2011-COSMOTE_ΟΜΒΡΙΑΚΗ,
114,,Street,O,R,,0.02671,0.07544,0.06242,0.03667,0.04788,0.02414,0.06249,0.17461,0.16259,0.275,,
115,,Street,O,R,,0.02591,0.04395,0.05991,0.0362,0.0514,0.0241,0.06238,0.14115,0.16208,0.247,,
116,Oikeia,RT,O,U,,0.10505,0.89935,0.09766,0.06918,0.36623,0.11813,0.09442,2.8281,0.21905,3.006,A02.16.07.2012 - COSMOTE_ΙΛΙΟΝ,
117,Oikeia,RT,O,U,,0.08337,0.72451,0.09848,0.06507,0.41954,0.09014,0.09105,1.5854,0.22226,1.817,,
118,Oikeia,Kids Room,I,U,1F,0.0373,0.3753,0.06292,0.03898,0.14908,0.0323,0.05703,0.28702,0.13893,0.525,,
119,Oikeia,Saloni,I,U,,0.0351,0.22377,0.06006,0.03748,0.09249,0.02928,0.05712,0.34472,0.13947,0.455,,
120,Oikeia,Garaj,I,U,,0.02745,0.04475,0.06042,0.03634,0.04419,0.02267,0.05693,0.09446,0.19299,0.244,,
121,Oikeia,B,I,U,1F,0.20842,0.27599,0.46682,0.27761,0.34409,0.24218,0.45582,16.16477,1.12022,16.228,A03.05.12.2012 - COSMOTE_ΠΑΛΑΙΟ_ΦΑΛΗΡΟ,
122,Oikeia,Saloni,I,U,1F,0.03265,0.09597,0.07236,0.04337,0.05598,0.04132,0.07019,2.34921,0.2173,2.365,,
123,Oikeia,Bed Room,I,U,1F,0.02562,0.0836,0.05787,0.03636,0.0448,0.03961,0.05525,1.87789,0.13613,1.888,,
124,Oikeia,Kouzina,I,U,1F,0.02577,0.08914,0.05735,0.03478,0.04474,0.02488,0.05537,0.58458,0.13587,0.616,,
125,,Street,O,U,,0.02926,0.03726,0.06022,0.05976,0.0463,0.98734,0.057,0.64667,0.14208,1.195,A01.22.05.2012 - COSMOTE_ΓΛΥΦΑΔΑ,
126,,Street,O,U,,0.02812,0.0382,0.05978,0.03912,0.04532,0.16075,0.05664,0.66186,0.13865,0.704,,
127,,Street,O,U,,0.02902,0.04173,0.06088,0.08062,0.04564,0.08769,0.05686,1.4623,0.14162,1.478,,
128,,Street,O,U,,0.0305,0.03646,0.06061,0.03903,0.04527,0.03495,0.05687,1.4015,0.13953,1.413,,
129,,Street,O,U,,0.02911,0.03956,0.0598,0.03845,0.04406,0.03596,0.05657,0.29498,0.13819,0.346,,
130,,Street,O,U,,0.02838,0.03612,0.05879,0.03577,0.04439,0.03869,0.05654,0.26227,0.14789,0.323,,
131,,Street,O,U,,0.02923,0.03622,0.06004,0.05266,0.0452,0.30165,0.05693,0.86423,0.13927,0.933,,
132,,Street,O,U,,0.02912,0.04004,0.0596,0.05941,0.04534,0.40327,0.05659,1.0837,0.13861,1.171,,
133,,Street,O,U,,0.03067,0.04111,0.06093,0.03949,0.04583,0.42421,0.05742,1.5577,0.13993,1.625,,
134,,Street,O,U,,0.02863,0.04352,0.06008,0.03957,0.04778,0.04082,0.0566,0.17556,0.14083,0.256,,
135,PK,Street,O,SU,,0.02489,0.69505,0.05851,0.03576,0.04381,0.82278,0.05502,0.89763,0.13557,1.412,A01.03.07.2013 - COSMOTE_ΑΛΙΒΕΡΙ,
136,PK,Proavlio Church,O,SU,,0.02501,0.70066,0.06071,0.06422,0.04853,1.76743,0.05505,1.63365,0.15897,2.514,,
137,PK,Street,O,SU,,0.056,0.51808,0.12797,0.07738,0.09379,3.33227,0.12383,3.69085,0.30445,5.014,,
138,PK,Street,O,SU,,0.0254,0.33572,0.05727,0.0354,0.04227,0.50526,0.05468,1.72686,0.14224,1.839,,
139,PK,Sxoleio,O,SU,,0.02543,0.32061,0.06057,0.03716,0.05277,0.72482,0.0548,1.14062,0.15163,1.401,,
140,PK,Sxoleio,O,SU,,0.02545,0.23121,0.05803,0.03444,0.05604,0.78267,0.05494,0.64115,0.14754,1.054,,
141,PK,Sxoleio,O,SU,,0.02546,0.2309,0.05742,0.03589,0.04269,0.62414,0.05486,0.67932,0.14524,0.967,,
142,PK,RT,O,SU,,0.04405,0.68723,0.10225,0.06879,0.11314,2.01669,0.09783,4.55671,0.24269,5.04,,
143,PK,Parking,O,SU,,0.02483,0.46279,0.0574,0.0347,0.0425,0.84565,0.05458,1.07186,0.15624,1.453,,
144,PK,Dimarxeio,O,SU,,0.02515,0.42474,0.05978,0.05605,0.04309,0.10417,0.05483,0.10544,0.13426,0.482,,
145,PK,Street,O,SU,,0.02529,2.75955,0.09498,0.09956,0.05765,0.91269,0.05489,1.06674,0.13521,3.103,,
